Time (s),AIN0,AIN1
0.133,0.09173943847417831,0.09173311293125153
0.134,0.091742604970932,0.09173627942800522
0.135,0.0917489305138588,0.091742604970932
0.136,0.0917489305138588,0.091742604970932
0.137,0.09175526350736618,0.0917489305138588
0.138,0.09175526350736618,0.0917457714676857
0.139,0.09175842255353928,0.0917489305138588
0.14,0.09175842255353928,0.09175209701061249
0.141,0.09175842255353928,0.09175209701061249
0.142,0.09176158905029297,0.09175526350736618
0.143,0.09175526350736618,0.09175842255353928
0.144,0.09176158905029297,0.09175842255353928
0.145,0.09176158905029297,0.09175526350736618
0.146,0.09175842255353928,0.09175842255353928
0.147,0.09176791459321976,0.09175842255353928
0.148,0.09175842255353928,0.09175842255353928
0.149,0.09176158905029297,0.09175842255353928
0.15,0.09176158905029297,0.09175842255353928
0.151,0.0916919857263565,0.09168566018342972
0.152,0.09163188189268112,0.09163504093885422
0.153,0.09160340577363968,0.09160657227039337
0.154,0.09158442914485931,0.09158442914485931
0.155,0.09157177060842514,0.09157177060842514
0.156,0.09155911952257156,0.09156227856874466
0.157,0.09155595302581787,0.09154962748289108
0.158,0.09154646098613739,0.09154646098613739
0.159,0.09154962748289108,0.0915433019399643
0.16,0.0915433019399643,0.0915433019399643
0.161,0.0915433019399643,0.09153380990028381
0.162,0.0915401354432106,0.0915369763970375
0.163,0.0915401354432106,0.0915401354432106
0.164,0.0915433019399643,0.09153380990028381
0.165,0.0915369763970375,0.0915369763970375
0.166,0.0915369763970375,0.0915369763970375
0.167,0.0915401354432106,0.09153380990028381
0.168,0.0915401354432106,0.09153380990028381
0.169,0.0915433019399643,0.09153380990028381
0.17,0.09153380990028381,0.0915369763970375
0.171,0.0915369763970375,0.0915369763970375
0.172,0.0915369763970375,0.0915369763970375
0.173,0.0915401354432106,0.09153380990028381
0.174,0.0915401354432106,0.09153064340353012
0.175,0.09147686511278152,0.09147053956985474
0.176,0.09134715795516968,0.0913376659154892
0.177,0.09127439558506012,0.09127123653888702
0.178,0.0912332683801651,0.09122694283723831
0.179,0.09120796620845795,0.09119530767202377
0.18,0.0911794900894165,0.0911794900894165
0.181,0.09116683900356293,0.09116050601005554
0.182,0.09115734696388245,0.09115418046712875
0.183,0.09114468842744827,0.09114468842744827
0.184,0.09115418046712875,0.09114785492420197
0.185,0.09114152938127518,0.09114152938127518
0.186,0.09113520383834839,0.09113836288452148
0.187,0.0911320373415947,0.09113520383834839
0.188,0.09113520383834839,0.091128870844841
0.189,0.091128870844841,0.091128870844841
0.19,0.091128870844841,0.09112254530191422
0.191,0.09112254530191422,0.091128870844841
0.192,0.09112571179866791,0.09112254530191422
0.193,0.09112571179866791,0.09111938625574112
0.194,0.091128870844841,0.09112571179866791
0.195,0.09112254530191422,0.09111938625574112
0.196,0.091128870844841,0.09112254530191422
0.197,0.09112254530191422,0.09111621975898743
0.198,0.09112571179866791,0.09111938625574112
0.199,0.09112571179866791,0.09111938625574112
0.2,0.09112254530191422,0.09111938625574112
0.201,0.091128870844841,0.09111938625574112
0.202,0.09111938625574112,0.09111938625574112
0.203,0.09112254530191422,0.09112571179866791
0.204,0.09112571179866791,0.09111621975898743
0.205,0.09112254530191422,0.09112254530191422
0.206,0.091128870844841,0.09111938625574112
0.207,0.09112571179866791,0.09111938625574112
0.208,0.09111938625574112,0.09111938625574112
0.209,0.09112254530191422,0.09112254530191422
0.21,0.09112571179866791,0.09111938625574112
0.211,0.09112571179866791,0.09111938625574112
0.212,0.09111938625574112,0.09111938625574112
0.213,0.09112571179866791,0.09111621975898743
0.214,0.09112254530191422,0.09112254530191422
0.215,0.09112254530191422,0.09111621975898743
0.216,0.09111938625574112,0.09112254530191422
0.217,0.09112254530191422,0.09111621975898743
0.218,0.09111938625574112,0.09111621975898743
0.219,0.09112254530191422,0.09111938625574112
0.22,0.09111621975898743,0.09111938625574112
0.221,0.09111938625574112,0.09111621975898743
0.222,0.09111938625574112,0.09111621975898743
0.223,0.09112254530191422,0.09111621975898743
0.224,0.09112254530191422,0.09111305326223373
0.225,0.0911826565861702,0.0911794900894165
0.226,0.09131868928670883,0.09131236374378204
0.227,0.0913851261138916,0.0913851261138916
0.228,0.09142624586820602,0.09142624586820602
0.229,0.09145788103342056,0.09145155549049377
0.23,0.09148003160953522,0.09147369861602783
0.231,0.0914895236492157,0.0914895236492157
0.232,0.09150534123182297,0.09149900823831558
0.233,0.09151482582092285,0.09151166677474976
0.234,0.09152115881443024,0.09151482582092285
0.235,0.09152115881443024,0.09152115881443024
0.236,0.09152748435735703,0.09152115881443024
0.237,0.09153064340353012,0.09152431786060333
0.238,0.09152748435735703,0.09152431786060333
0.239,0.09153380990028381,0.09152748435735703
0.24,0.09153064340353012,0.09152748435735703
0.241,0.09153064340353012,0.09152431786060333
0.242,0.0915369763970375,0.09153064340353012
0.243,0.09153064340353012,0.09152115881443024
0.244,0.09153064340353012,0.09153064340353012
0.245,0.09153064340353012,0.09153064340353012
0.246,0.09153380990028381,0.09152748435735703
0.247,0.09153380990028381,0.09152748435735703
0.248,0.0915401354432106,0.09152748435735703
0.249,0.0915369763970375,0.09153380990028381
0.25,0.0915369763970375,0.09153064340353012
0.251,0.0915369763970375,0.09153380990028381
0.252,0.0915369763970375,0.09153064340353012
0.253,0.09153064340353012,0.09153064340353012
0.254,0.09153380990028381,0.09153064340353012
0.255,0.0915369763970375,0.09152748435735703
0.256,0.09158126264810562,0.09157493710517883
0.257,0.09155279397964478,0.09154962748289108
0.258,0.09154646098613739,0.0915401354432106
0.259,0.0915401354432106,0.0915401354432106
0.26,0.0915401354432106,0.09153380990028381
0.261,0.09153064340353012,0.09153380990028381
0.262,0.0915369763970375,0.09153064340353012
0.263,0.0915369763970375,0.09152748435735703
0.264,0.09153064340353012,0.09152748435735703
0.265,0.09153380990028381,0.09153064340353012
0.266,0.09153380990028381,0.09153064340353012
0.267,0.09153064340353012,0.09152748435735703
0.268,0.09153064340353012,0.09153064340353012
0.269,0.09153064340353012,0.09152748435735703
0.27,0.09153064340353012,0.09152748435735703
0.271,0.09153064340353012,0.09152748435735703
0.272,0.09153380990028381,0.09152748435735703
0.273,0.09153064340353012,0.09153064340353012
0.274,0.09153064340353012,0.09153064340353012
